n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
138,8,4,85,235.2173913043478,"{'146': 7, '143': 31, '142': 12, '107': 4, '145': 38, '108': 3, '109': 4, '141': 39}",0,1,72,85,"P.le Roma (S. Chiara) ""F""",12.31883,45.438923,12.321242,45.440216,12.31883,45.438923
4,57,4,85,180.0,{'1': 4},0,1,72,85,"P.le Roma (S. Chiara) ""F""",12.31883,45.438923,12.32088,45.439873,12.31883,45.438923
98,125,4,86,466.530612244898,"{'101': 3, '151': 6, '150': 31, '104': 3, '147': 39, '102': 3, '148': 4, '103': 2, '100': 1, '149': 6}",0,1,73,86,"P.le Roma (S. Chiara) ""G""",12.319038,45.438816,12.309408,45.441383,12.319038,45.438816
89,57,4,87,180.0,"{'11': 69, '14': 1, '10': 5, '9': 6, '7': 7, '12': 1}",0,1,74,87,Riva de Biasio SX,12.325667,45.441998,12.32088,45.439873,12.325667,45.441998
97,36,4,87,173.1958762886598,"{'2': 69, '109': 4, '4': 7, '107': 4, '1': 4, '3': 6, '108': 3}",0,1,74,87,Riva de Biasio SX,12.325667,45.441998,12.328278,45.442513,12.325667,45.441998
13,7,4,87,180.0,"{'101': 3, '104': 3, '13': 1, '102': 3, '103': 2, '100': 1}",0,1,74,87,Riva de Biasio SX,12.325667,45.441998,12.321408,45.440372,12.325667,45.441998
102,87,4,88,165.88235294117646,"{'101': 3, '13': 1, '102': 3, '10': 5, '9': 6, '7': 7, '12': 1, '11': 69, '104': 3, '14': 1, '103': 2, '100': 1}",0,1,75,88,S. Marcuola-Casino' DX,12.32882,45.442444,12.325667,45.441998,12.32882,45.442444
39,7,4,88,300.0,{'147': 39},0,1,75,88,S. Marcuola-Casino' DX,12.32882,45.442444,12.321408,45.440372,12.32882,45.442444
102,88,4,89,165.88235294117646,"{'101': 3, '13': 1, '102': 3, '10': 5, '9': 6, '7': 7, '12': 1, '11': 69, '104': 3, '14': 1, '103': 2, '100': 1}",0,1,76,89,San Stae,12.330798,45.441746,12.32882,45.442444,12.330798,45.441746
97,90,4,89,167.01030927835052,"{'2': 69, '109': 4, '4': 7, '107': 4, '1': 4, '3': 6, '108': 3}",0,1,76,89,San Stae,12.330798,45.441746,12.333899,45.440563,12.330798,45.441746
97,41,4,90,173.1958762886598,"{'2': 69, '109': 4, '4': 7, '107': 4, '1': 4, '3': 6, '108': 3}",0,1,77,90,Ca' D'Oro,12.333899,45.440563,12.335298,45.439453,12.333899,45.440563
102,89,4,90,172.94117647058823,"{'101': 3, '13': 1, '102': 3, '10': 5, '9': 6, '7': 7, '12': 1, '11': 69, '104': 3, '14': 1, '103': 2, '100': 1}",0,1,77,90,Ca' D'Oro,12.333899,45.440563,12.330798,45.441746,12.333899,45.440563
53,97,4,91,352.07547169811323,"{'146': 7, '107': 4, '108': 3, '141': 39}",0,1,78,91,"Rialto ""D""",12.335558,45.437584,12.328128,45.435249,12.335558,45.437584
13,94,4,91,180.0,"{'4': 7, '3': 6}",0,1,78,91,"Rialto ""D""",12.335558,45.437584,12.333188,45.43681,12.335558,45.437584
39,88,4,92,360.0,{'147': 39},0,1,79,92,"Rialto ""C""",12.335405,45.437428,12.32882,45.442444,12.335405,45.437428
